Product Name,Price
"vivo V40 Pro 5G (Ganges Blue, 512 GB)","₹55,999"
"Apple iPhone 15 (Blue, 128 GB)","₹65,249"
"Apple iPhone 15 (Black, 128 GB)","₹65,249"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999"
"vivo T3x 5G (Celestial Green, 128 GB)","₹14,999"
"Apple iPhone 15 (Green, 128 GB)","₹65,499"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹13,499"
"vivo T3x 5G (Celestial Green, 128 GB)","₹16,499"
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹16,499"
"Apple iPhone 15 (Pink, 128 GB)","₹65,499"
"Motorola G85 5G (Urban Grey, 128 GB)","₹17,999"
"MOTOROLA Edge 50 (Jungle Green, 256 GB)","₹27,999"
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999"
"Motorola G85 5G (Cobalt Blue, 256 GB)","₹19,999"
"Apple iPhone 15 (Yellow, 128 GB)","₹63,999"
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Voilet, 128 GB)","₹12,999"
"Apple iPhone 15 Plus (Black, 128 GB)","₹72,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999"
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999"
"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999"
"realme 12x 5G (Woodland Green, 128 GB)","₹14,999"
"REDMI 13C (Starshine Green, 128 GB)","₹7,699"
